,KWH
1961,14371
1962,10275
1963,7245
1964,7256
1965,1790
1966,7605
1967,8706
1968,17509
1969,9448
1970,6840
1971,17198
1972,5294
1973,5019
1974,4770
1975,39525
1976,18531
1977,3077
1978,10882
1979,2129
1980,15694
1981,10549
1982,12069
1983,3526
1984,13103
1985,9220
1986,6579
1987,10139
1988,20725
1989,26911
1990,7566
1991,8074
1992,3738
1993,10425
1994,5514
1995,4289
1996,9744
1997,12913
1998,20123
1999,28771
2000,53746
2001,15341
2002,7405
2003,1506
2004,7485
2005,6310
2006,8258
2007,2783
2008,1363
2009,10349
2010,12626
2011,20632
2012,7005
2013,10751
2014,8982
2015,7183
2016,12848
2017,5992
2018,6808
2019,17135
2020,5112
2021,12105
2022,7728
2023,11191
2024,20398
2025,1600
2026,25943
2027,8611
2028,18082
2029,18472
2030,9899
2031,22096
2032,7677
2033,4805
2034,5853
2035,28561
2036,12415
2037,4120
2038,4789
2039,5547
2040,20037
2041,9652
2042,7953
2043,13512
2044,8141
2045,2643
2046,6779
2047,11619
2048,2848
2049,16055
2050,16789
2051,15671
2052,9602
2053,9108
2054,16442
2055,15474
2056,9026
2057,7079
2058,8809
2059,5351
2060,16119
2061,9362
2062,7533
2063,6096
2064,5708
2065,10740
2066,33510
2067,6357
2068,4535
2069,22319
2070,21008
2071,9943
2072,12371
2073,6670
2074,9592
2075,10399
2076,5722
2077,14525
2078,7215
2079,4398
2080,37844
2081,15300
2082,8634
2083,9225
2084,14632
2085,8067
2086,11007
2087,21483
2088,10592
2089,10992
2090,5943
2091,8947
2092,3138
2093,5821
2094,5678
2095,1671
2096,5967
2097,25836
2098,19234
2099,10754
2100,6946
2101,12875
2102,5595
2103,7388
2104,5004
2105,8856
2106,18738
2107,7148
2108,7940
2109,32007
2110,9686
2111,12564
2112,14066
2113,20337
2114,6410
2115,20835
2116,8895
2117,8434
2118,8263
2119,6222
2120,14804
2121,7115
2122,13391
2123,12760
2124,10015
2125,17389
2126,9975
2127,9180
2128,15845
2129,12060
2130,2651
2131,10413
2132,11396
2133,7099
2134,14199
2135,6207
2136,13228
2137,21959
2138,3999
2139,12065
2140,8312
2141,3562
2142,3925
2143,3316
2144,22953
2145,11931
2146,15911
2147,5429
2148,17987
2149,4187
2150,19979
2151,30167
2152,6917
2153,5268
2154,9353
2155,5468
2156,4516
2157,3894
2158,12042
2159,5044
2160,4246
2161,9058
2162,22775
2163,7517
2164,12606
2165,13623
2166,18845
2167,6768
2168,8413
2169,10898
2170,8828
2171,15085
2172,17396
2173,11212
2174,21079
2175,12405
2176,22791
2177,15118
2178,7456
2179,13783
2180,13401
2181,9567
2182,20357
2183,12531
2184,16480
2185,7507
2186,9193
2187,30087
2188,11556
2189,6759
2190,14520
2191,5297
2192,4299
2193,4111
2194,11196
2195,21988
2196,16724
2197,24529
2198,9788
2199,9235
2200,13096
2201,7811
2202,27547
2203,18305
2204,5836
2205,19561
2206,5974
2207,19883
2208,16367
2209,14640
2210,5128
2211,22812
2212,33910
2213,3399
2214,9309
2215,7637
2216,7813
2217,13000
2218,7069
2219,19813
2220,4717
2221,6024
2222,8603
2223,18631
2224,15410
2225,15086
2226,5326
2227,9734
2228,11824
2229,11859
2230,22120
2231,2354
2232,9419
2233,3150
2234,4586
2235,12861
2236,12171
2237,16563
2238,5260
2239,12952
2240,6362
2241,15090
2242,24279
2243,7937
2244,27862
2245,8146
2246,6355
2247,16713
2248,3611
2249,3298
2250,8093
2251,10428
2252,16667
2253,7615
2254,9934
2255,10816
2256,14149
2257,27349
2258,3414
2259,17899
2260,11190
2261,5809
2262,6852
2263,31213
2264,8113
2265,11095
2266,3345
2267,9618
2268,6136
2269,14639
2270,9087
2271,11455
2272,10351
2273,6056
2274,5858
2275,6291
2276,5057
2277,452
2278,14120
2279,13607
2280,5674
2281,7522
2282,5603
2283,10114
2284,14429
2285,3602
2286,3254
2287,7762
2288,1411
2289,2945
2290,13778
2291,7680
2292,17158
2293,4265
2294,10064
2295,4596
2296,20819
2297,13618
2298,15621
2299,13141
2300,4323
2301,12334
2302,41230
2303,7741
2304,20003
2305,18816
2306,3827
2307,11062
2308,21537
2309,9515
2310,13056
2311,5606
2312,6433
2313,10006
2314,9615
2315,2043
2316,10687
2317,10823
2318,10522
2319,8699
2320,8829
2321,5883
2322,6059
2323,14226
2324,8039
2325,7279
2326,8231
2327,5115
2328,8238
2329,15869
2330,7802
2331,7717
2332,18450
2333,10190
2334,14239
2335,3033
2336,8224
2337,17406
2338,8623
2339,3894
2340,7445
2341,8163
2342,5981
2343,9369
2344,18065
2345,9293
2346,5037
2347,16612
2348,8639
2349,13019
2350,3564
2351,3587
2352,12177
2353,2331
2354,10722
2355,2811
2356,11209
2357,4330
2358,18605
2359,14104
2360,8004
2361,15521
2362,12026
2363,11738
2364,1613
2365,4838
2366,15804
2367,14649
2368,10786
2369,8660
2370,11519
2371,3571
2372,5037
2373,12369
2374,23101
2375,6542
2376,548
2377,5434
2378,21400
2379,8475
2380,16277
2381,21105
2382,14332
2383,3154
2384,14346
2385,4919
2386,9534
2387,15807
2388,14206
2389,20789
2390,1613
2391,12003
2392,9265
2393,7973
2394,12840
2395,9576
2396,10132
2397,8678
2398,17833
2399,10905
2400,5636
2401,18615
2402,4862
2403,21775
2404,14462
2405,12467
2406,5661
2407,2296
2408,6051
2409,1526
2410,9985
2411,8509
2412,2577
2413,15027
2414,18165
2415,10106
2416,5462
2417,10794
2418,5647
2419,4654
2420,3683
2421,3357
2422,14572
2423,9694
2424,7413
2425,6770
2426,5212
2427,11220
2428,3385
2429,11559
2430,7785
2431,7412
2432,10088
2433,8268
2434,12113
2435,12090
2436,5085
2437,11857
2438,9050
2439,13118
2440,20441
2441,11311
2442,9330
2443,6153
2444,9404
2445,9731
2446,18051
2447,5448
2448,3499
2449,59892
2450,10911
2451,9865
2452,19343
2453,8979
2454,2650
2455,31705
2456,13420
2457,13831
2458,4645
2459,9215
2460,7901
2461,4413
2462,6671
2463,9758
2464,3005
2465,2802
2466,9297
2467,4001
2468,29825
2469,7610
2470,8945
2471,4544
2472,8428
2473,21321
2474,7397
2475,23335
2476,21801
2477,10121
2478,10446
2479,15509
2480,9729
2481,4142
2482,10057
2483,4355
2484,41143
2485,7016
2486,12836
2487,23972
2488,3532
2489,5524
2490,7872
2491,2674
2492,20384
2493,27812
2494,2915
